Description,Revenue,units,Customers
CHRISTMAS RETROSPOT TREE WOOD,2210.2999999999997,2738,129
CHRISTMAS STAR WISH LIST CHALKBOARD,3499.66,3697,143
CHRISTMAS TABLE SILVER CANDLE SPIKE,792.26,990,38
CHRISTMAS TOILET ROLL,4955.05,4196,138
CHRISTMAS TREE DECORATION WITH BELL,512.8199999999999,1221,42
CHRISTMAS TREE HANGING GOLD,505.54999999999995,553,29
CHRISTMAS TREE HANGING SILVER ,415.29999999999995,438,25
CHRISTMAS TREE HEART DECORATION,618.66,1473,50
CHRISTMAS TREE PAINTED ZINC ,760.2700000000001,2143,50
CHRISTMAS TREE STAR DECORATION,641.76,1528,47
CHRISTMAS TREE T-LIGHT HOLDER,342.2,236,17
CHRYSANTHEMUM  JOURNAL,601.51,344,48
CHRYSANTHEMUM NOTEBOOK,341.54999999999995,207,37
CHRYSANTHEMUM POCKET BOOK ,92.64999999999999,109,21
CHRYSANTHEMUM SKETCHBOOK ,712.29,279,43
CHUNKY SILVER NECKLACE PASTEL FLOWE,467.65,47,14
CINAMMON & ORANGE WREATH,1761.1,538,67
CINAMMON SET OF 9 T-LIGHTS,1097.9099999999999,1299,102
CINDERELLA CHANDELIER ,1803.85,143,11
CINNAMON SCENTED VOTIVE CANDLE,364.71,1443,26
CIRCLE OF FRIENDS CANDLE HOLDER,186.14999999999998,161,13
CIRCUS PARADE BABY GIFT SET,3470.7999999999997,224,50
CIRCUS PARADE CHILDRENS EGG CUP ,1118.59,891,58
CIRCUS PARADE LUNCH BOX ,8664.08,4770,166
CITRONELLA CANDLE FLOWERPOT,2725.0,1597,108
CITRONELLA CANDLE GARDEN POT,2291.72,2176,112
CITRUS GARLAND FELT FLOWERS ,196.95,101,21
CLAM SHELL LARGE,56.25,15,5
CLAM SHELL SMALL ,342.79,191,18
CLASSIC BICYCLE CLIPS ,2127.6499999999996,1537,62
CLASSIC CAFE SUGAR DISPENSER,2586.49,2271,93
CLASSIC CHROME BICYCLE BELL ,2967.35,2131,107
CLASSIC CROME BICYCLE BELL ,77.4,60,2
CLASSIC DIAMANTE EARRINGS JET,2.9499999999999993,1,2
CLASSIC DIAMANTE NECKLACE JET,15.0,2,2
CLASSIC FRENCH STYLE BASKET BROWN,847.39,189,41
CLASSIC FRENCH STYLE BASKET GREEN ,1555.25,319,62
CLASSIC FRENCH STYLE BASKET NATURAL,2035.3700000000001,443,67
CLASSIC GLASS COOKIE JAR,3329.8,836,105
CLASSIC GLASS SWEET JAR,353.85,87,10
CLASSIC METAL BIRDCAGE PLANT HOLDER,12473.71,1218,128
CLASSIC SUGAR DISPENSER,202.32,180,9
CLASSIC WHITE FRAME,1887.6000000000001,648,78
CLASSICAL ROSE CANDLESTAND,370.3,446,9
CLASSICAL ROSE DISH,303.65000000000003,179,14
CLASSICAL ROSE SMALL VASE,644.0,380,27
CLASSICAL ROSE TABLE LAMP,57.45,11,3
CLASSICAL ROSE URN,261.0,80,6
CLEAR ACRYLIC FACETED BANGLE,73.35000000000001,45,7
CLEAR COLOUR GLASS GEMS IN BAG,331.78999999999996,503,8
CLEAR CRYSTAL STAR PHONE CHARM,78.05999999999999,90,9
CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,5389.84,4496,108
CLEAR LOVE BIRD T-LIGHT HOLDER,166.61,62,7
CLEAR MILKSHAKE GLASS,513.15,266,21
CLEAR STATIONERY BOX SET ,33.15,39,11
CLOCK MAGNET MUM'S KITCHEN,574.89,213,21
CLOTHES PEGS RETROSPOT PACK 24 ,13726.849999999999,10045,269
COCKLE SHELL DISH,445.06000000000006,290,22
COCKTAIL SWORDS 50 PIECES,598.18,770,52
COFFEE MUG APPLES DESIGN,8588.5,3831,147
COFFEE MUG BLUE PAISLEY DESIGN,3255.11,1825,51
COFFEE MUG CAT + BIRD DESIGN,7124.94,3228,129
COFFEE MUG DOG + BALL DESIGN,5831.49,2653,120
COFFEE MUG PEARS  DESIGN,7354.36,3709,110
COFFEE MUG PINK PAISLEY DESIGN,3462.1,1772,43
COFFEE SCENT PILLAR CANDLE,236.54999999999998,249,33
COGNAC AUX OEUFS METAL 1 HOOK,22.5,18,7
COLOUR GLASS T-LIGHT HOLDER HANGING,17907.210000000003,30103,252
COLOUR GLASS. STAR T-LIGHT HOLDER,22506.87,7823,141
COLOURED GLASS STAR T-LIGHT HOLDER,2852.32,816,25
COLOURFUL FISHING GNOME,398.65000000000003,67,15
COLOURFUL FLOWER FRUIT BOWL,20.6,8,5
COLOURFUL STANDING GNOME,560.7,166,20
COLOURING PENCILS BROWN TUBE,2966.39,3730,139
COLUMBIAN  CUBE CANDLE ,72.23,215,9
COLUMBIAN CANDLE RECTANGLE,467.88,630,31
COLUMBIAN CANDLE ROUND,511.41,1133,33
COLUMBIAN CANDLE ROUND ,281.94,248,26
COLUMBIAN CUBE CANDLE,403.62,490,11
CONCH SHELL,79.05000000000001,23,4
CONDIMENT TRAY 4 BOWLS AND 4 SPOONS,241.17999999999998,26,11
CONGRATULATIONS BUNTING,512.3000000000001,94,35
COOK WITH WINE METAL SIGN ,30939.3,16462,229
COOKING SET RETROSPOT,3721.2,396,100
COPPER AND BRASS BAG CHARM,54.510000000000005,10,5
COPPER/OLIVE GREEN FLOWER NECKLACE,83.30000000000001,14,7
CORDIAL GLASS JUG,107.25,13,10
CORDIAL JUG,33.0,4,1
CORONA MEXICAN TRAY,3997.25,1147,82
COSMETIC BAG VINTAGE ROSE PAISLEY,1390.52,694,71
COSY HOUR CIGAR BOX MATCHES ,2545.58,2062,122
COSY HOUR GIANT TUBE MATCHES,2778.45,1115,96
COSY SLIPPER SHOES LARGE GREEN,1293.9500000000003,445,53
COSY SLIPPER SHOES LARGE RED,318.6,108,25
COSY SLIPPER SHOES SMALL  RED ,733.0500000000001,255,49
COSY SLIPPER SHOES SMALL GREEN,686.9900000000001,236,42
COTE D'AZURE NECKLACE,39.6,8,3
COTTON APRON PANTRY DESIGN,1256.64,280,68
COUNTRY COTTAGE  DOORSTOP GREEN,534.75,139,38
COW  SOCK PUPPET,59.0,20,9
COWBOYS AND INDIANS BIRTHDAY CARD ,2425.09,6066,142
CRACKED GLAZE EARRINGS RED,2.55,1,1
CRACKED GLAZE NECKLACE IVORY,6.950000000000001,1,1
CRAZY DAISY HEART DECORATION,620.37,1044,25
CREAM AND PINK FLOWERS PONY ,75.0,20,8
CREAM BUNNY EASTER EGG BASKET,1.65,1,1
CREAM C/COVER W YELLOW/GREEN FLOWER,27.8,4,1
CREAM CLIMBING HYDRANGA ART FLOWER,115.35,121,4
CREAM CUPID HEARTS COAT HANGER,14944.2,4648,172
CREAM CUSHION COVER WITH FLOWERS,211.75,65,7
CREAM DELPHINIUM ARTIFICIAL FLOWER,112.73000000000002,47,7
CREAM FELT EASTER EGG BASKET,1996.6499999999999,1245,133
CREAM HANGING HEART T-LIGHT HOLDER,137.65,51,6
CREAM HEART CARD HOLDER,38924.01,13705,263
CREAM KNITTED HEN,365.76,288,1
CREAM SLICE FLANNEL CHOCOLATE SPOT ,948.35,341,33
CREAM SLICE FLANNEL PINK SPOT ,4168.5,1566,67
CREAM SWEETHEART DOUBLE SHELF,-50.849999999999994,-3,1
CREAM SWEETHEART EGG HOLDER,3296.8,696,97
CREAM SWEETHEART LETTER RACK,6001.87,1371,105
CREAM SWEETHEART MAGAZINE RACK,2244.0499999999997,139,56
CREAM SWEETHEART MINI CHEST,26309.73,2234,237
CREAM SWEETHEART SHELF + HOOKS,4782.26,748,79
CREAM SWEETHEART TRAYS,4206.95,373,78
CREAM SWEETHEART WALL CABINET,5871.46,388,58
CREAM WALL PLANTER HEART SHAPED,1979.8100000000002,354,73
CROCHET BEAR RED/BLUE  KEYRING,11.549999999999999,7,3
CROCHET BEAR WITH BLUE STRIPES,150.45,59,13
CROCHET DOG KEYRING,1.65,1,1
CROCHET POODLE KEYRING,9.899999999999999,6,1
CROCHET ROSE DES CLOTHES HANGER,20.65,7,3
CROCHET ROSE PURSE WITH SUEDE BACK,289.1,98,15
CROCHET WHITE RABBIT KEYRING ,44.699999999999996,30,2
CROSS STITCH ALPHABET CUSHION COVER,779.45,131,32
CRUK Commission,-7933.43,-16,1
CRYSTAL CZECH CROSS PHONE CHARM,26.709999999999997,25,3
CRYSTAL DIAMANTE EXPANDABLE RING,80.75,19,6
CRYSTAL DIAMANTE STAR BROOCH,79.2,16,5
CRYSTAL FROG PHONE CHARM,71.17999999999999,110,7
CRYSTAL HOOP EARRING FLORAL LEAF,61.95000000000001,21,8
CRYSTAL KEY+LOCK PHONE CHARM,39.949999999999996,47,5
CRYSTAL LARGE JEWELLED PHOTO FRAME,35.699999999999996,14,5
CRYSTAL PAIR HEART HAIR SLIDES,18.75,5,3
CRYSTAL SEA HORSE PHONE CHARM,45.56,104,6
CRYSTAL SMALL JEWELLED PHOTOFRAME,1.65,1,1
CRYSTAL STILETTO PHONE CHARM,54.4,64,7
CRYSTAL STUD EARRINGS ASSORTED COL ,344.16,648,16
CRYSTAL STUD EARRINGS CLEAR DISPLAY,109.44,288,6
CUBIC MUG BLUE POLKA DOT,1076.1,1242,3
CUBIC MUG FLOCK BLUE ON BROWN,925.74,1142,11
CUBIC MUG FLOCK PINK ON BROWN,34.53,83,8
CUBIC MUG PINK POLKA DOT,119.85,47,8
CUBIC MUG PINK POLKADOT,278.1,486,29
CUBIC MUG TEATIME CAKES,15.299999999999999,6,1
CUPBOARD 3 DRAWER MA CAMPAGNE,1005.15,69,44
CUPCAKE LACE PAPER SET 6,4533.83,2479,131
CUPID DESIGN SCENTED CANDLES,577.15,379,29
CUPID SCENTED CANDLE IN GLASS,36.3,22,5
CURIO CABINET LINEN AND LACE ,110.8,14,6
CURIOUS  IMAGES NOTEBOOK SET,445.25,325,8
CURIOUS IMAGES GIFT WRAP SET,464.40000000000003,449,37
CURIOUS IMAGES SCRAP BOOK SET,479.1,330,15
CUSHION COVER PINK UNION FLAG,521.85,83,13
CUSHION COVER PINK UNION JACK,395.64000000000004,76,24
CUT GLASS HEXAGON T-LIGHT HOLDER,1133.94,672,17
CUT GLASS T-LIGHT HOLDER OCTAGON,771.54,560,26
CUTE BIRD CEATURE SCREEN,10.23,23,3
CUTE CATS TAPE,346.07,971,29
CUTE RABBIT CEATURE SCREEN ,7.59,13,4
DADDY MOUSE RED GINGHAM BOW TIE,5.45,1,1
DAIRY MAID  PUDDING BOWL,168.75,45,17
DAIRY MAID  SMALL  MILK JUG,252.00000000000003,120,23
DAIRY MAID BUTTER DISH,189.5,48,15
DAIRY MAID CERAMIC BUTTER DISH,271.5,66,18
DAIRY MAID CERAMIC TOASTRACK,100.30000000000001,34,8
DAIRY MAID LARGE MILK JUG,2488.2000000000003,526,94
DAIRY MAID STRIPE MUG,2270.82,1758,61
DAIRY MAID SUGAR JAM BOWL,235.20000000000002,112,32
DAIRY MAID TOASTRACK,609.0600000000001,534,43
DAIRY MAID TRADITIONAL TEAPOT ,3251.65,571,86
DAISIES  HONEYCOMB GARLAND ,1274.2499999999998,781,68
DAISY ERASERS IN BAG,103.62,411,9
DAISY FOLKART HEART DECORATION,277.5,222,23
DAISY GARDEN MARKER,1743.6999999999998,1264,61
DAISY HAIR BAND,54.449999999999996,33,6
DAISY HAIR COMB,15.299999999999999,6,2
DAISY JOURNAL ,389.86999999999995,235,31
DAISY NOTEBOOK ,136.95,83,20
DAISY RING,10.0,8,1
DAISY SKETCHBOOK ,289.96,111,29
DANISH ROSE BEDSIDE CABINET,319.6,8,9
DANISH ROSE DECORATIVE PLATE,473.7,741,36
DANISH ROSE DELUXE COASTER,517.16,956,32
DANISH ROSE FOLDING CHAIR,707.5500000000001,89,19
DANISH ROSE PHOTO FRAME,1308.42,1110,62
DANISH ROSE ROUND SEWING BOX,881.72,662,46
DANISH ROSE TRINKET TRAYS,443.7,238,25
DANISH ROSE UMBRELLA STAND,322.15,21,13
DARK BIRD HOUSE TREE DECORATION,311.09,889,38
DARK CHOCOLATE SCENTCANDLE,75.55000000000001,95,6
DARK PINK FLOCK GLASS CANDLEHOLDER,184.05,481,4
DECORATION  BUTTERFLY  MAGIC GARDEN,456.22999999999996,571,50
DECORATION  PINK CHICK MAGIC GARDEN,340.18,410,43
"DECORATION , HANGING METAL CHICKEN",290.0,364,11
"DECORATION , HANGING METAL RABBIT",453.75,495,19
"DECORATION , WOBBLY CHICKEN, METAL ",729.9,562,35
"DECORATION , WOBBLY RABBIT , METAL ",1008.7499999999999,731,45
"DECORATION HEN ON NEST, HANGING",2027.1,1418,50
DECORATION SITTING BUNNY,185.79000000000002,957,16
DECORATION WHITE CHICK MAGIC GARDEN,556.46,662,67
DECORATION WOBBLY CHICKEN,220.07999999999998,448,15
DECORATION WOBBLY RABBIT METAL ,331.34999999999997,659,20
"DECORATION, HANGING HEART+MIRROR ",874.85,1357,46
DECORATIVE CATS BATHROOM BOTTLE,875.02,986,45
DECORATIVE FLORE BATHROOM BOTTLE,331.41,297,33
DECORATIVE HANGING SHELVING UNIT,619.45,11,6
DECORATIVE NET CANOPY CREAM,416.29999999999995,54,10
DECORATIVE NET CANOPY LEOPARD,207.5,62,4
DECORATIVE PLANT POT WITH FRIEZE,300.45,39,14
DECORATIVE ROSE BATHROOM BOTTLE,687.31,839,46
DECORATIVE VINTAGE COFFEE  BOX,148.8,32,8
DECORATIVE WICKER HEART LARGE,2113.2,1288,110
DECORATIVE WICKER HEART MEDIUM,1342.44,1080,91
DECORATIVE WICKER HEART SMALL,614.76,988,40
"DECOUPAGE,GREETING CARD,",423.36,1020,34
DECROTIVEVINTAGE COFFEE GRINDER BOX,49.5,10,4
DEEP BLUE GLASS GEMS IN BAG,197.07,303,4
DELUXE SEWING KIT ,8728.52,1560,158
DENIM PATCH PENCIL CASE BUTTERFLY,39.900000000000006,19,7
DENIM PATCH PURSE PINK BUTTERFLY,301.95,183,31
DIAMANTE BOW BROOCH BLACK COLOUR,266.7,42,12
DIAMANTE BOW BROOCH GREEN COLOUR,133.35,21,7
DIAMANTE BOW BROOCH RED COLOUR,253.99999999999997,40,11
DIAMANTE HAIR GRIP PACK/2 BLACK DIA,11.549999999999999,7,3
DIAMANTE HAIR GRIP PACK/2 CRYSTAL,9.899999999999999,6,2
DIAMANTE HAIR GRIP PACK/2 LT ROSE,24.749999999999996,15,5
DIAMANTE HAIR GRIP PACK/2 MONTANA,28.049999999999997,17,5
DIAMANTE HAIR GRIP PACK/2 PERIDOT,23.099999999999998,14,4
DIAMANTE HAIR GRIP PACK/2 RUBY,19.799999999999997,12,4
"DIAMANTE HEART SHAPED WALL MIRROR, ",3621.76,626,40
DIAMANTE NECKLACE,15.0,2,2
DIAMANTE NECKLACE BLACK ,22.5,3,2
DIAMANTE NECKLACE PURPLE,30.0,4,3
DIAMANTE RING ASSORTED IN BOX.,2288.16,1584,20
DIAMOND LAS VEGAS NECKLACE 45CM,29.75,5,3
DINOSAUR BIRTHDAY CARD,439.86,1073,49
DINOSAUR HEIGHT CHART STICKER SET,919.5500000000001,365,48
DINOSAUR KEYRINGS ASSORTED,1757.01,8466,106
DINOSAUR LUNCH BOX WITH CUTLERY,4405.08,1893,117
DINOSAUR LUNCHBOX WITH CUTLERY,741.75,293,44
DINOSAUR PARTY BAG + STICKER SET,2159.89,1373,98
DINOSAURS  WRITING SET ,1462.84,904,121
DINOSAURS WATER TRANSFER TATTOOS ,943.75,1163,65
DISCO BALL CHRISTMAS DECORATION,1731.72,15622,95
DISCO BALL ROTATOR BATTERY OPERATED,1628.0,384,67
DISTRESSED CANDLE STICK WHITE,17.85,3,2
DO NOT TOUCH MY STUFF DOOR HANGER ,1140.47,2181,84
DOCTOR'S BAG SOFT TOY,2266.68,244,57
DOG AND BALL WALL ART,425.87999999999994,252,3
"DOG BOWL , CHASING BALL DESIGN",1703.76,472,56
DOG BOWL CHASING BALL DESIGN,5251.87,1351,70
DOG BOWL VINTAGE CREAM,1227.42,288,66
"DOG BOWL, ENAMEL , CREAM COLOUR",34.0,8,2
"DOG FOOD CONTAINER , VINTAGE",68.0,8,2
DOG LICENCE WALL ART,1867.44,372,19
DOG TOY WITH PINK CROCHET SKIRT,1035.19,277,63
DOGGY RUBBER,77.28,368,26
DOILEY BISCUIT TIN,275.58000000000004,102,10
DOILEY STORAGE TIN,2405.0800000000004,892,69
DOILY THANK YOU CARD,198.42,493,26
DOLLCRAFT BOY JEAN-PAUL ,354.1,78,11
DOLLCRAFT GIRL AMELIE,158.4,32,7
DOLLCRAFT GIRL AMELIE KIT,294.7,66,8
DOLLCRAFT GIRL NICOLE,217.8,44,8
DOLLY CABINET 2 DRAWERS ,262.5,21,14
DOLLY CABINET 3 DRAWERS ,403.65,27,17
DOLLY GIRL BABY GIFT SET,4670.9,302,60
DOLLY GIRL CHILDRENS BOWL,1449.8500000000001,1229,73
DOLLY GIRL CHILDRENS CUP,1481.39,1229,68
DOLLY GIRL CHILDRENS EGG CUP,882.46,705,69
DOLLY GIRL LUNCH BOX,25684.39,14659,230
DOLLY GIRL MINI BACKPACK,2386.6,604,79
DOLLY GIRL MINI RUCKSACK,16.6,4,1
DOLLY GIRL WALL ART,1010.94,306,8
DOLLY HONEYCOMB GARLAND,686.6999999999999,598,35
DOLLY MIXTURE CHILDREN'S UMBRELLA,1278.13,395,67
DOLPHIN WINDMILL,38.160000000000004,18,5
DONKEY TAIL GAME ,144.54000000000002,42,2
DOOR HANGER  MUM + DADS ROOM,795.6899999999999,681,56
DOOR MAT 3 SMILEY CATS,7391.12,1400,67
DOOR MAT AIRMAIL ,1987.75,287,53
DOOR MAT BIRD ON THE WIRE,2518.71,441,39
DOOR MAT BLACK FLOCK ,6071.0,1098,61
DOOR MAT CAMOUFLAGE,152.0,38,1
DOOR MAT ENGLISH ROSE ,7501.72,1178,107
DOOR MAT FAIRY CAKE,7393.88,1214,94
DOOR MAT FANCY FONT HOME SWEET HOME,6010.73,913,74
DOOR MAT FRIENDSHIP ,2066.46,306,68
DOOR MAT GREEN PAISLEY ,1025.05,197,34
DOOR MAT HEARTS,7467.75,1343,99
DOOR MAT KISS MY.......,52.43,7,4
DOOR MAT MULTICOLOUR STRIPE,4780.18,816,68
DOOR MAT NEIGHBOURHOOD WITCH ,368.31,51,19
DOOR MAT NEW ENGLAND,9419.23,1505,139
DOOR MAT RED SPOT,12426.25,2053,154
DOOR MAT RESPECTABLE HOUSE,1913.26,280,47
DOOR MAT SPOTTY HOME SWEET HOME,7323.85,1327,86
DOOR MAT SWEET HOME,97.5,23,3
DOOR MAT TOPIARY,4770.77,781,58
DOOR MAT UNION FLAG,18433.59,2885,219
DOOR MAT UNION JACK GUNS AND ROSES,3384.07,563,65
DOOR MAT WELCOME PUPPIES,6168.56,1166,82
DOORKNOB CERAMIC IVORY,52.199999999999996,36,1
DOORKNOB CRACKED GLAZE BLUE,238.49999999999997,162,3
DOORKNOB CRACKED GLAZE GREEN,19.799999999999997,12,2
DOORKNOB CRACKED GLAZE IVORY,248.39999999999998,168,4
DOORKNOB CRACKED GLAZE PINK,19.799999999999997,12,2
DOORMAT 3 SMILEY CATS,10109.9,1806,91
DOORMAT AIRMAIL ,9636.75,1629,113
DOORMAT BIRD ON THE WIRE,1055.21,217,11
DOORMAT BLACK FLOCK ,13872.67,2578,97
DOORMAT CHRISTMAS VILLAGE,3939.1600000000003,698,54
DOORMAT ENGLISH ROSE ,17731.27,2821,163
DOORMAT FAIRY CAKE,17602.87,3057,122
DOORMAT FANCY FONT HOME SWEET HOME,26530.68,4402,145
DOORMAT FRIENDSHIP ,3662.39,735,29
DOORMAT HEARTS,28749.97,4925,227
DOORMAT HOME SWEET HOME BLUE ,12796.4,2150,182
DOORMAT I LOVE LONDON,3859.2200000000003,652,60
DOORMAT KEEP CALM AND COME IN,28486.45,4337,232
DOORMAT KISS MY.......,106.58,22,2
DOORMAT MERRY CHRISTMAS RED ,5130.3099999999995,731,105
DOORMAT MULTICOLOUR STRIPE,11337.48,2107,71
DOORMAT NEIGHBOURHOOD WITCH ,4843.400000000001,920,45
DOORMAT NEW ENGLAND,25983.9,4410,201
DOORMAT PEACE ON EARTH BLUE,4156.63,797,48
DOORMAT RED RETROSPOT,26588.88,4102,245
DOORMAT RED SPOT,5645.04,838,103
DOORMAT RESPECTABLE HOUSE,9746.59,1653,79
DOORMAT SPOTTY HOME SWEET HOME,14584.84,2049,205
DOORMAT TOPIARY,9685.210000000001,1681,94
DOORMAT UNION FLAG,33638.06,5284,259
DOORMAT UNION JACK GUNS AND ROSES,10099.68,1868,86
DOORMAT VINTAGE LEAF,3155.02,464,68
DOORMAT VINTAGE LEAVES DESIGN ,2480.0,380,58
DOORMAT WELCOME PUPPIES,16380.68,2968,116
DOORMAT WELCOME SUNRISE,3201.98,480,80
DOORMAT WELCOME TO OUR HOME,9002.31,1333,164
DOORSTOP FOOTBALL DESIGN,1146.61,403,53
DOORSTOP RACING CAR DESIGN,733.36,310,37
DOORSTOP RETROSPOT HEART,7269.04,1885,184
DOORSTOP RUSSIAN DOLL GINGHAM,97.5,26,13
DOORSTOP RUSSIAN DOLL RETROSPOT,226.74,62,22
DOT MATRIX CANVAS ART PICTURE,147.05,35,3
DOTCOM POSTAGE,11906.36,16,1
DOTS IRONING BOARD COVER,14.25,7,9
DOTTY PLACEMATS ,157.05,47,7
DOUBLE CERAMIC PARLOUR HOOK,66.4,16,4
DOUGHNUT LIP GLOSS ,7247.7,6114,120
DOVE DECORATION PAINTED ZINC ,1378.17,3101,75
DRAGONS BLOOD INCENSE,84.5,450,10
DRAWER KNOB ACRYLIC EDWARDIAN CLEAR,30.0,24,1
DRAWER KNOB ACRYLIC EDWARDIAN GREEN,30.0,24,1
DRAWER KNOB ACRYLIC EDWARDIAN PINK,30.0,24,1
DRAWER KNOB CERAMIC BLACK,1040.8999999999999,746,41
DRAWER KNOB CERAMIC IVORY,2165.94,1554,68
DRAWER KNOB CERAMIC RED,794.4,576,32
DRAWER KNOB CRACKLE GLAZE BLUE,1390.4399999999998,860,57
DRAWER KNOB CRACKLE GLAZE GREEN,1527.4499999999998,949,62
DRAWER KNOB CRACKLE GLAZE IVORY,2700.1499999999996,1683,77
DRAWER KNOB CRACKLE GLAZE PINK,1557.1499999999999,967,63
DRAWER KNOB VINTAGE GLASS BALL,499.05,235,27
DRAWER KNOB VINTAGE GLASS HEXAGON,428.48,206,16
DRAWER KNOB VINTAGE GLASS STAR,786.09,392,29
DRAWERKNOB ACRYLIC EDWARDIAN PURPLE,30.0,24,1
DROP DIAMANTE EARRINGS BLACK DIAMON,8.850000000000001,3,3
DROP DIAMANTE EARRINGS CRYSTAL,5.899999999999999,2,3
DROP DIAMANTE EARRINGS GREEN,5.899999999999999,2,3
DROP DIAMANTE EARRINGS PURPLE,32.45,11,5
DROP EARRINGS W FLOWER & LEAF,5.1,2,2
DUCK SOCK PUPPET,6.700000000000002,2,3
DUSTY PINK CHRISTMAS TREE 30CM,7.5,6,1
DUSTY PINK CHRISTMAS TREE 60CM,8.850000000000001,3,1
Discount,-12680.57,-2840,46
EASTER BUNNIES ON A STICK,519.96,1056,34
EASTER BUNNY GARLAND OF FLOWERS,284.76,678,43
EASTER BUNNY HANGING GARLAND,135.0,108,14
EASTER BUNNY WITH BASKET ON BACK,100.75,155,20
EASTER BUNNY WREATH,153.45000000000002,31,11
EASTER CRAFT 4 CHICKS ,3429.6,1888,117
EASTER CRAFT IVY WREATH WITH CHICK,931.65,527,46
EASTER DECORATION EGG BUNNY ,907.69,1099,44
EASTER DECORATION HANGING BUNNY,576.19,1627,51
EASTER DECORATION NATURAL CHICK,750.0500000000001,1197,55
EASTER DECORATION SITTING BUNNY,568.89,717,49
EASTER TIN BUCKET,2288.25,975,70
EASTER TIN BUNNY BOUQUET,1502.6999999999998,950,77
EASTER TIN CHICKS IN GARDEN,316.79999999999995,192,16
EASTER TIN CHICKS PINK DAISY,643.4999999999999,390,60
EASTER TIN KEEPSAKE,1129.9499999999998,711,66
EASTER TREE YELLOW BIRDS,1489.45,303,44
EAU DE NIL DINER WALL CLOCK,1423.75,171,60
EAU DE NIL LOVE BIRD CANDLE,389.97,365,19
EAU DE NILE HEART SHAPE PHOTO FRAME,578.4,368,28
EAU DE NILE JEWELLED PHOTOFRAME,410.99999999999994,236,19
EAU DE NILE JEWELLED T-LIGHT HOLDER,31.45,37,5
ECONOMY HOLIDAY PURSE,63.05000000000001,23,7
ECONOMY LUGGAGE TAG,258.31,189,29
ECONOMY PASSPORT COVER ,94.5,45,10
EDWARDIAN 2 DRAWER WALL CABINET ,377.9,26,9
EDWARDIAN DROP EARRINGS JET BLACK,11.25,3,3
EDWARDIAN HEART PHOTO FRAME,398.40000000000003,96,15
EDWARDIAN PARASOL BLACK,35680.62,7420,157
EDWARDIAN PARASOL NATURAL,42325.11,8732,157
EDWARDIAN PARASOL PINK,7012.860000000001,1421,101
EDWARDIAN PARASOL RED,20830.27,4582,133
EDWARDIAN PHOTO FRAME,418.75,67,19
EDWARDIAN TOILET ROLL UNIT ,581.4000000000001,116,15
EGG CUP HENRIETTA HEN CREAM ,627.02,550,19
EGG CUP HENRIETTA HEN PINK,187.5,150,12
EGG CUP MILKMAID HEIDI,763.27,659,34
EGG CUP MILKMAID HELGA ,368.75,295,25
EGG CUP MILKMAID INGRID,593.51,499,30
EGG CUP NATURAL CHICKEN,694.72,832,54
EGG FRYING PAN BLUE ,253.76000000000002,122,29
EGG FRYING PAN IVORY ,535.36,268,40
EGG FRYING PAN MINT ,303.68,146,35
EGG FRYING PAN PINK ,316.13,151,33
EGG FRYING PAN RED ,705.9200000000001,350,43
EIGHT PIECE CREEPY CRAWLIE SET,527.94,426,40
EIGHT PIECE DINOSAUR SET,999.19,803,65
EIGHT PIECE SNAKE  SET,626.69,505,49
ELEPHANT BIRTHDAY CARD ,318.84,768,39
ELEPHANT CARNIVAL POUFFE,1113.3,78,16
ELEPHANT CLIP W SUCTION CUP,8.82,21,4
ELEPHANT TOY WITH BLUE T-SHIRT,336.93,91,35
"ELEPHANT, BIRTHDAY CARD, ",2101.8,5258,142
ELVIS WALLHANGING / CURTAIN,222.5,178,13
EMBOSSED FLOWER TRELLIS PHOTO FRAME,12.75,5,3
EMBOSSED GLASS TEALIGHT HOLDER,3173.92,2595,109
EMBOSSED HEART 3 DRAWER SHELF,1477.35,117,34
EMBOSSED HEART TRINKET BOX,331.7,167,21
EMBROIDERED REINDEER DECORATION,20.79,14,4
EMBROIDERED RIBBON REEL CLAIRE,698.76,204,13
EMBROIDERED RIBBON REEL DAISY ,807.06,429,31
EMBROIDERED RIBBON REEL EMILY ,711.54,363,47
EMBROIDERED RIBBON REEL RACHEL ,697.72,268,20
EMBROIDERED RIBBON REEL REBECCA ,551.65,205,27
EMBROIDERED RIBBON REEL ROSIE,717.62,386,24
EMBROIDERED RIBBON REEL RUBY ,484.38,138,21
EMBROIDERED RIBBON REEL SALLY ,599.22,309,28
EMBROIDERED RIBBON REEL SOPHIE  ,751.26,218,21
EMBROIDERED RIBBON REEL SUSIE ,796.3199999999999,423,30
EMERGENCY FIRST AID TIN ,1939.12,1530,112
EMPIRE BIRTHDAY CARD,1175.85,2915,86
EMPIRE DESIGN ROSETTE,3713.9199999999996,4330,34
EMPIRE GIFT WRAP,2044.0,5100,111
EMPIRE TEDDY,6.95,1,1
EMPIRE TISSUE BOX,1236.19,1951,93
EMPIRE UNION JACK TV DINNER TRAY,2550.7200000000003,888,67
ENAMEL BLUE RIM BISCUIT BIN,1031.6000000000001,220,53
ENAMEL BLUE RIM COFFEE CONTAINER,315.69,228,26
ENAMEL BLUE RIM OVAL TRAY SET/2,237.72,28,18
ENAMEL BLUE RIM TEA CONTAINER,118.38000000000001,60,14
ENAMEL BOWL PANTRY,30.0,24,2
